Abucoins,"[EUR, PLN, USD]"
BTC38,[CNY]
BTCChina,[CNY]
BTCE,"[CNH, USD, EUR, RUB, GBP]"
BTCMarkets,[AUD]
BTER,"[BITUSD, CNY]"
BXinth,[THB]
Binance,[USDT]
Bit2C,[ILS]
BitBay,"[PLN, EUR, USD]"
BitMarket,"[EUR, PLN]"
BitSquare,"[ILS, PLN, HKD, CAD, CNY, NZD, LTC, DASH, AUD, CHF, JPY, GBP, CZK, CRC, BRL, EUR, ZAR, NOK, SEK, BHD, KHR, USD]"
BitTrex,"[USD, BITCNY]"
Bitfinex,"[USD, EUR]"
Bithumb,[KRW]
Bitso,[MXN]
Bitstamp,"[EUR, USD]"
Bleutrade,"[ETH, DOGE]"
CCEDK,"[USD, BITUSD, DKK, EUR, CNY, RUB, BITCNY, GBP]"
CCEX,"[USD, LTC]"
CHBTC,[CNY]
Cexio,"[EUR, USD]"
Coinbase,"[USD, GBP, CAD, EUR]"
Coincheck,[JPY]
Coinfloor,"[PLN, USD, GBP, EUR]"
Coinone,[KRW]
Coinroom,"[GBP, PLN, USD, EUR]"
Coinsetter,[USD]
Cryptopia,"[NZDT, USDT]"
Cryptsy,"[EUR, CAD, USD]"
Exmo,"[UAH, USDT, PLN, USD, RUB, EUR]"
Gatecoin,"[USD, EUR, HKD, XJP]"
Gateio,[USDT]
Gemini,[USD]
HitBTC,"[EUR, USD]"
Huobi,"[CNY, USD]"
Jubi,[CNY]
Korbit,[KRW]
Kraken,"[JPY, USD, XRP, GBP, EUR, LTC, CAD]"
LakeBTC,"[CNY, USD, SGD, GBP, CAD, JPY, CHF, NZD, AUD, HKD, EUR]"
Liqui,[USDT]
LiveCoin,"[EUR, RUR, USD]"
LocalBitcoins,"[GEL, QAR, VND, DKK, NAD, BWP, TND, ILS, BOB, BRL, AMD, CAD, TWD, MYR, MZN, XOF, HNL, OMR, IQD, UGX, PLN, MXN, ETH, BYR, MMK, AOA, PHP, TZS, XAG, HRK, GHS, PEN, XAU, MOP, RSD, GTQ, PYG, AZN, CNH, KRW, EUR, PKR, UAH, THB, JOD, HUF, KHR, BYN, KGS, LBP, KES, SGD, PAB, AFN, UZS, TRY, XAR, DZD, JMD, TTD, NPR, KWD, JPY, SAR, ALL, GBP, AED, CUC, EGP, ZMW, MUR, RWF, IDR, IRR, MDL, RON, ZAR, BDT, MAD, LKR, CHF, ISK, SEK, BGN, XAF, GIP, CZK, DOP, NOK, NZD, BIF, BAM, ARS, USD, CRC, GGP, CNY, INR, ETB, VEF, ...]"
Luno,"[NGN, ZAR, IDR, SGD, MYR]"
Lykke,"[EUR, GBP, LKK, JPY, USD, CHF, LKK1Y]"
MercadoBitcoin,[BRL]
MonetaGo,"[CAD, CNY, RON, EUR, ZAR, GBP, BGN, NZD, CZK, SGD, USD, INR, AED, HUF, RUB, HRK, THB, TRY, ILS, HKD, JPY, MXN, SEK, AUD, CHF, DKK, MUR]"
OKCoin,"[USD, LTC, CNY]"
OKEX,[USDT]
Paymium,[EUR]
Poloniex,[USD]
QuadrigaCX,"[USD, CAD]"
Quoine,"[INR, PHP, CNY, USD, HKD, AUD, JPY, EUR, IDR, SGD]"
Remitano,"[UGX, GHS, VND, TZS, PKR, KES, CNY, GBP, AUD, SGD, IRR, MYR, PHP, USD, INR, ZAR, SEK, NGN, CAD]"
TheRockTrading,"[USD, EUR]"
Tidex,"[USDT, WUSD, WEUR]"
Unocoin,[INR]
Vaultoro,[GOLD]
ViaBTC,[CNY]
WavesDEX,"[EUR, WAVES, USD]"
Yacuna,"[GBP, EUR]"
Yobit,"[RUR, USD]"
Yunbi,"[CNY, BITUSD]"
Zaif,[JPY]
bitFlyer,[JPY]
bitFlyerFX,[JPY]
itBit,"[USD, EUR, SGD]"
