BTC38,"[CNY, BTC]"
BTER,"[BTC, CNY, USD]"
BXinth,[BTC]
BitSquare,[BTC]
BitTrex,[BTC]
Bleutrade,"[ETH, BTC]"
CCEDK,"[EUR, NXT, BTC, USD, CNY, PPC, LTC, DKK]"
CCEX,"[USD, BTC, ETH, LTC]"
Cexio,"[LTC, BTC, EUR, USD]"
Coinse,"[BTC, LTC]"
Cryptopia,"[BTC, NZDT, LTC, USDT, ETH]"
Cryptsy,"[XRP, LTC, USD, BTC]"
Exmo,"[RUB, BTC, EUR, USD]"
Gateio,"[USDT, BTC]"
HitBTC,"[ETH, USD, BTC]"
Jubi,[CNY]
LiveCoin,"[BTC, USD]"
Novaexchange,"[ESP2, MOON, BTC, LTC, ETH, KIC]"
Poloniex,[BTC]
Tidex,"[WAVES, BTC, ETH]"
TuxExchange,[BTC]
Yacuna,"[BTC, EUR, GBP]"
Yobit,"[BTC, WAVES, RUR, USD, ETH]"
