Abucoins,"[BTC, PLN]"
BTC38,[CNY]
BTCE,"[USD, LTC, BTC, EUR, RUB]"
BTCMarkets,"[BTC, AUD]"
BTER,"[CNY, BTC]"
BXinth,"[THB, BTC]"
Binance,"[BTC, USDT]"
BitBay,"[USD, BTC, PLN, EUR]"
BitSquare,[BTC]
BitTrex,"[BTC, USD]"
Bitfinex,"[BTC, USD]"
Bithumb,[KRW]
Bitso,[MXN]
Bitstamp,"[USD, EUR]"
Bleutrade,"[DOGE, BTC]"
CCEX,"[USD, DOGE, BTC, LTC]"
CHBTC,[CNY]
Cexio,"[USD, BTC]"
Coinbase,"[EUR, BTC, USD]"
Coinone,[KRW]
Coinroom,"[GBP, EUR, USD, PLN]"
Cryptopia,"[BTC, NZDT, DOGE, UNO, LTC, USDT]"
Cryptsy,"[BTC, USD, LTC]"
EXX,"[USDT, BTC, HSR]"
EtherDelta,[ETH]
EthexIndia,[INR]
Exmo,"[USDT, PLN, USD, LTC, BTC, RUB, UAH, EUR]"
Gatecoin,"[HKD, EUR, USD, BTC, DAI]"
Gateio,"[BTC, USDT]"
Gemini,"[USD, BTC]"
HitBTC,"[BTC, EUR, USD]"
Huobi,[CNY]
HuobiPro,[BTC]
Jubi,[CNY]
Korbit,[KRW]
Kraken,"[GBP, USD, JPY, CAD, EUR, BTC]"
Kucoin,"[USDT, BTC]"
LakeBTC,[BTC]
Liqui,"[USDT, BTC]"
LiveCoin,"[RUR, BTC, USD]"
Lykke,"[LKK, BTC, USD, EUR, GBP, CHF]"
Novaexchange,[BTC]
OKCoin,"[USD, CNY]"
OKEX,"[USDT, BTC]"
Poloniex,"[BTC, USD]"
QuadrigaCX,"[BTC, CAD]"
Quoine,"[PHP, BTC, SGD, HKD, AUD, EUR, JPY, IDR, USD]"
Remitano,"[TZS, VND, CAD, PKR, PHP, KES, USD, MYR, INR, NGN, SGD, CNY, GBP]"
TheRockTrading,"[EUR, BTC]"
Tidex,"[USDT, BTC, WUSD, WAVES, WEUR]"
TrustDEX,"[VND, AIC, USDT, BTC]"
TuxExchange,[BTC]
ViaBTC,[CNY]
WavesDEX,"[TOM, WAVES, MNY, B@, BCH, EUR, USD, IRA, BTC]"
Yobit,"[WAVES, RUR, DOGE, BTC, USD]"
Yunbi,"[CNY, BTC]"
Zaif,"[JPY, BTC]"
bitFlyer,[BTC]
